tweet_id,text,airline,airline_sentiment
570000287080951808,@united Exhausted &amp; frustrated! Link to a FB post abt my travel issue https://t.co/LaRKC8vc4s,United,negative
569554916064284672,@united amazing hospitality and helpfulness from Anthony Lastella. Great staff 👏👏👏✈️ def flying #united again.,United,positive
567793494695157760,@United Airlines Cancelled Flights OC FLL #flight today. $700 to switch. No notice no apology. We are done flying #UnitedAirlines.,United,negative
570284840752427008,"@JetBlue can't book a flight because of outdated, forced opt-in ""Verified by Visa"" nonsense. Help a girl out? I just want to get to @sxsw",Delta,negative
569627005852917762,"@united your b737-800w  literally the smallest seats I have ever have, my dad got stuck In the tiny bathroom ad well #disspointed #premier1k",United,negative
568887349481861120,@USAirways Wishing we had our luggage. 2 days now. Had to pay our way from St Thomas to San Juan. Spent extra $$$ because of this mess up.,US Airways,negative
569604425238454273,@AmericanAir my flt is at 7a tom. I have now rec'd notification that I'm going out from some other airport,American,negative
569316516321202176,"@USAirways I need help. In air on #717 to CLT from PHL. Conf: D1MQF5 Need confirmed on #1776 to BNA at 10:30. Been bumped all day, need home",US Airways,negative
569891440135794688,@AmericanAir Thank You! CC: @packermama1,American,positive
568556953640820736,@USAirways 45 min hold time then a hang up by Manager Mike in dividend miles dept. tough to justify sticking with the Us air CC and status.,US Airways,negative
569602057285574656,@AmericanAir please fix your mobile and desktop site to allow Canadians to select a passenger when checking in. Thanks.,American,negative
569330683623186433,@united flight was Cancelled Flighted after the last opportunity to rebook us on other flights this evening passed.,United,negative
569762365572558848,BUT @united just re-booked to BOS; UGGH!! now 3 hour bus to WMASS home. Could have flown to BDL &amp; back to DC in same time. #unitedairlines,United,negative
569748572104560640,@united I wanna be grand staff,United,positive
569810990189191168,@USAirways Flight gets in 30 minutes early and all goodwill gone when bags aren't here 45 minutes Late Flightr,US Airways,negative
569240250192670720,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,Virgin America,positive
568788652995833856,"@USAirways 835, fix this ASAP",US Airways,negative
569563297164480513,@USAirways you should get better employees✌️,US Airways,negative
569280157678071808,"@united yes, after landing at 930pm last night. Spoke to 10 baggage claim customer service reps. Finally spoke to one amazing ticket agent.",United,negative
569168884798005248,@united Was just hung up on by customer service after waiting 30 min on hold...guess that vacation's not happening? Website wasn't working.,United,negative
567842661463240704,@JetBlue we were on b6 619 this morning from Boston to beautiful San Diego. We really were bummed the satellite was broken. :(,Delta,negative
568087085120233473,"@united yes, I know that. The question is ""why is that still the case""? #fail",United,negative
568220131819720705,@JetBlue I just submitted feedback for you @gripeo. Not a good way 2 handle baggage or customers: http://t.co/F6COpX1Fvj,Delta,negative
570203037823836160,"@USAirways @united two broken airplanes, two days Late Flightr and I'm stranded after a funeral and missing out on my last semester of #college. 👍",US Airways,negative
569487156399378434,@united Thanks.    This one was delayed an hour and a half prior to scheduled departure.,United,negative
569263732280451072,@USAirways Thank you!!! This whole crew has rocked through bad weather and diversion. Pilot keeping us well informed. #customerservice,US Airways,positive
569587663692554242,@USAirways now after an hour on the plane and knowing of a maint issue ahead of time they just announced another 30 mins. Y r we on plane?,US Airways,negative
569680231012773888,@AmericanAir  800 number will not even let you wait for next customer rep. Very frustrating. Can't talk to humans.,American,negative
569230983075115010,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,Virgin America,negative
569670904852172800,@SouthwestAir.   50th Anniversary on April 10th. Still. Sweethearts.  Companions.  Lifetime.  Sons.  Families. Love.,Southwest,positive
569275935905722368,"@JetBlue Thanks for the instant reply, and for still doing first bag free (so important)!",Delta,positive
569122341797691392,@jetblue is the website down? Can't print boarding pass,Delta,negative
569138202424025088,@JetBlue you #fail. Snow coming to DC area. Tried to get on earlier flight. You refused. Now flight 6.5 hours delayed. Greedy and foolish.,Delta,negative
569570444027822081,@united I bought a ticket yesterday and received a confirmation. Tried to check in and they said I hadn't paid for it. So I called was on,United,negative
570066805810601985,@united Yes. Did file a claim as soon as the carousel stopped without my bag on it. Got an email that its found but not sched for delivery,United,negative
568451138221166592,@USAirways got rebooked. Sent to A9. Wrong gate! Traveled back to B13 for correct flight. #tired&amp;frustrated,US Airways,negative
570174964856266752,@AmericanAir  oh no she left the counter and went downstairs.  Then she told Elise an agent that joined her not to come over to counter.,American,negative
569264912695840768,@united i'm glad u can solve the prob. But my experience remains - will not fly again on #United,United,negative
569358953567670272,@USAirways Cancelled Flightled flight 1796 baggage held hostage at CHL. No communication.,US Airways,negative
568026425535516674,"@USAirways tell them to get on that, please.",US Airways,negative
569907336485019648,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,Virgin America,negative
569936348217352194,"@united 2 Cancelled Flighted flights Late Flightr, agent claimed she put me on a new flight but then Cancelled Flighted it. Coworker got on flight- now delayed. Now?",United,negative
569527176350969856,"@SouthwestAir Thanks for the terrible service! Stranded in MDW for 2 days, &amp; now can't find confirmation for rebooked flight from MKE.",Southwest,negative
569341641200439296,@JetBlue can we get a honest update on departure of flite 454. Been on plane with infant children,Delta,negative
569744079027896320,"@united This is the 2nd time I was rebooked (w/delays), and for reasons unreLate Flightd to weather. How do I go about requesting a flight voucher?",United,negative
569283845985427457,@united is honestly RUINING MY FUCKING LIFE RIGHT NOW. NEVER AGAIN!!!!!!!!!!!!!!!!!!!!!!!!!!!,United,negative
568251373189349376,@JetBlue thanks to O StBernard for taking time to read through page to find info as supervisor felt to insist tho I showed previous comm,Delta,positive
569500986638798848,@united thank you!,United,positive
567874892634304512,@SouthwestAir all good now. Going to make it to Boston on time. I'm actually on your wifi right now,Southwest,positive
569940075120873472,@AmericanAir umm unexpected?? Unexpected meaning you guys didn't know you had a major staff shortage ??,American,negative
569643648910028801,@usairways the. Worst. Ever. #dca #customerservice,US Airways,negative
569571437389881344,@SouthwestAir here's a first..both pilot and first officer in galley during flight...,Southwest,negative
568490899396829186,@USAirways has the most ass backwards process for using credits on flights. even trying to get a hold of customer relations is impossible,US Airways,negative
569547374454050816,"@JetBlue if someone had bothered to inform us that the airport closed, that would have helped.",Delta,negative
569961503308189696,@SouthwestAir Just go ahead and start the scavenger hunt after 5 pm today when work is over ;) #DestinationDragons,Southwest,positive
567762071258152960,@VirginAmerica you guys are perfect as always! &lt;3 #WeRVirgin,Virgin America,positive
569540826231152640,"@USAirways any updates on Flt 1848, here at the gate and they have no expected time of departure",US Airways,negative
569676336635236352,@AmericanAir @DAI_President Good luck at DFW this evening AA!,American,positive
568913418092224512,@USAirways not happening #worstairlineever also Marie Burroughs is the worst customer service rep ever #yourairlinesucks,US Airways,negative
568396205270691840,@united UA1740. 4.5 hr mechanical delay all I get is $50 voucher? Will tweet when I book next trip not on UA.,United,negative
